CEP origem,CEP fim
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010
89053-195,85010-010
85010-010,89053-195
89053-195,82200-530
82200-530,89053-195
85010-010,82200-530
82200-530,85010-010